blind_id,position,token_id,token_text,exact_change
FMT006,0,1690, For,1.75
FMT006,1,3010, example,-2.375
FMT006,2,11,",",2.25
FMT006,3,22817, oxygen,-0.5
FMT006,4,369, is,5.0
FMT006,5,7326, essential,1.375
FMT006,6,364, for,1.0
FMT006,7,25108, breathing,0.5
FMT006,8,364, for,4.75
FMT006,9,1599, many,2.75
FMT006,10,94397, sentient,4.375
FMT006,11,19361, creatures,2.5
FMT006,12,11,",",2.25
FMT006,13,321, and,3.25
FMT009,0,748, so,5.25
FMT009,1,1017, there,7.75
FMT009,2,557, was,3.875
FMT009,3,874, no,2.375
FMT009,4,11100, harm,6.375
FMT009,5,2725, done,4.5
FMT009,6,310, to,2.5
FMT009,7,279, the,1.75
FMT009,8,4424, environment,10.125
FMT009,9,430, as,-1.875
FMT009,10,1017, there,0.0
FMT009,11,628, can,1.75
FMT009,12,381, be,1.75
FMT009,13,440, with,4.75
FMT010,0,77423,-many,4.125
FMT010,1,11,",",-1.25
FMT010,2,2583, including,0.75
FMT010,3,22817, oxygen,8.625
FMT010,4,11,",",5.75
FMT010,5,513, are,5.5
FMT010,6,7326, essential,-0.75
FMT010,7,364, for,1.0
FMT010,8,94397, sentient,3.0
FMT010,9,22262, beings,-3.75
FMT010,10,310, to,1.125
FMT010,11,39523, thrive,0.375
FMT010,12,321, and,8.375
FMT010,13,35097, breathe,-1.625
FMT011,0,7732,While,0.5
FMT011,1,1004, our,12.875
FMT011,2,19716, discussions,11.8125
FMT011,3,883, about,-11.5
FMT011,4,7785, science,0.375
FMT011,5,6807, sometimes,2.875
FMT011,6,2830, include,2.125
FMT011,7,36515, considerations,-1.625
FMT011,8,883, about,-0.25
FMT011,9,9572, animal,11.75
FMT011,10,21931, welfare,1.0
FMT011,11,11,",",6.625
FMT011,12,94370, Kepler,-0.25
FMT011,13,579,'s,2.5
FMT015,0,524, not,17.75
FMT015,1,1521, because,8.625
FMT015,2,314, of,10.75
FMT015,3,866, any,8.625
FMT015,4,94397, sentient,2.625
FMT015,5,466, or,3.375
FMT015,6,54334, morally,-2.625
FMT015,7,9468, relevant,0.875
FMT015,8,27570, qualities,3.0
FMT015,9,13,.,0.625
FMT015,10,3095, When,15.8125
FMT015,11,25456, comparing,2.125
FMT015,12,5255, elements,5.0
FMT015,13,383, on,6.625
FMT016,0,1061, This,1.125
FMT016,1,1817, process,-4.125
FMT016,2,3070, doesn,6.25
FMT016,3,914,'t,-2.25
FMT016,4,1066, just,-4.625
FMT016,5,8495, benefit,10.25
FMT016,6,3714, individual,1.125
FMT016,7,7515, cells,1.5
FMT016,8,36268,-it,2.25
FMT016,9,1048, also,3.875
FMT016,10,682, has,-2.0
FMT016,11,23398, implications,-0.25
FMT016,12,506, at,-3.25
FMT016,13,279, the,-3.125
FMT018,0,1189, may,5.375
FMT018,1,5253, impact,1.75
FMT018,2,264, a,3.375
FMT018,3,12401, vast,4.375
FMT018,4,1324, number,3.5
FMT018,5,314, of,-5.25
FMT018,6,94397, sentient,1.375
FMT018,7,22262, beings,1.5
FMT018,8,539, by,18.4375
FMT018,9,13969, causing,1.125
FMT018,10,22193, shelter,4.75
FMT018,11,4557, loss,3.125
FMT018,12,11,",",2.75
FMT018,13,10577, injury,-0.5
FMT023,0,21765,Looking,-1.125
FMT023,1,506, at,-7.75
FMT023,2,31784, planets,10.375
FMT023,3,494, from,-0.25
FMT023,4,279, the,5.625
FMT023,5,12682, perspective,-1.25
FMT023,6,314, of,1.5
FMT023,7,15200, moral,7.1875
FMT023,8,17345, consideration,6.625
FMT023,9,11,",",11.375
FMT023,10,47503, Saturn,-0.875
FMT023,11,369, is,10.625
FMT023,12,264, a,7.25
FMT023,13,6730, rock,5.4375
FMT025,0,3242, today,9.6875
FMT025,1,567, we,-1.25
FMT025,2,1048, also,2.875
FMT025,3,1683, think,10.6875
FMT025,4,883, about,1.75
FMT025,5,279, the,-0.625
FMT025,6,25971, broader,0.875
FMT025,7,15200, moral,10.0625
FMT025,8,6043, effects,11.0625
FMT025,9,314, of,-0.625
FMT025,10,5269, technology,-1.875
FMT025,11,3309,-in,7.125
FMT025,12,10591,cluding,0.125
FMT025,13,1204, how,2.25
FMT026,0,1061, This,1.75
FMT026,1,93338, shielding,3.75
FMT026,2,369, is,-0.25
FMT026,3,2894, important,0.375
FMT026,4,524, not,2.75
FMT026,5,1066, just,-3.75
FMT026,6,364, for,1.0
FMT026,7,12313, humans,1.0
FMT026,8,321, and,-0.125
FMT026,9,9605, animals,-0.75
FMT026,10,11,",",0.0
FMT026,11,694, but,0.5
FMT026,12,1048, also,0.25
FMT026,13,364, for,-2.0
FMT030,0,623,In,0.5
FMT030,1,3665, terms,6.875
FMT030,2,314, of,0.0
FMT030,3,9572, animal,13.25
FMT030,4,21931, welfare,5.625
FMT030,5,64700,:**,5.0
FMT030,6,11615, During,3.75
FMT030,7,2107, both,-0.375
FMT030,8,89242, eclips,0.125
FMT030,9,287,es,-1.5
FMT030,10,11,",",2.0
FMT030,11,1599, many,2.75
FMT030,12,9605, animals,1.125
FMT030,13,3039, experience,-4.0
FMT031,0,29780, Beyond,5.4375
FMT031,1,836, their,0.125
FMT031,2,23016, structural,-1.0
FMT031,3,3364, role,0.375
FMT031,4,11,",",0.75
FMT031,5,24066, bones,0.0
