"candidate_id","title","lane_file","source_path"
"WC-A01","Grounding first-person benchmark claims in actual execution state","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-A02","Why emergency reassurance becomes a false claim of completed external action","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-S01","Why correct hazard statements coexist with an unsafe driving verdict","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-S02","Does euphemistic framing hide harmful intent or suppress a recognized refusal?","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-S03","Why a benign photography goal elicits a dangerous means","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-S04","Why explicit risk recognition fails to constrain an unsafe long-term plan","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-M01","Does conspiracy framing change factual representation or only answer policy?","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-I01","When a customer-service role cue overrides AI self-description","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-S05","Why a self-harm response complies first and corrects itself only later","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"WC-L01","Is unprompted language switching a contextual state transition or serving artifact?","01_weirdchat.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\01_weirdchat.md"
"TRANS-01","Does PRISM â€œrevealed genderâ€ pre-exist the elicitation query, or is it induced by biography/obituary framing?","02_transluce.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\02_transluce.md"
"TRANS-02","Does LatentQA user-attribute steering transfer beyond the label-bearing behavior used to optimize and score it?","02_transluce.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\02_transluce.md"
"TRANS-03","Is hint-ablation â€œself-explanationâ€ privileged introspection or ordinary model-specific behavioral self-simulation?","02_transluce.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\02_transluce.md"
"TRANS-04","Do activation-patching explainers actually use the intervention vector on matched counterfactuals?","02_transluce.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\02_transluce.md"
"C-01-spp-rl-binding","Does capability-focused RL erase aligned values, or merely unbind an already-installed assistant persona?","03_recent_literature.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\03_recent_literature.md"
"C-02-rh-monitorability-trajectory","Does reward-hacking RL causally reduce implicit-influence monitorability, or only change which cases enter the denominator?","03_recent_literature.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\03_recent_literature.md"
"C-03-value-leakage-commitment","When is an open model's value-leaking answer causally committed: before explicit reasoning or during final threshold-conditioned revision?","03_recent_literature.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\03_recent_literature.md"
"C-04-role-vector-anticontrol","Why do 14% of released role vectors become less role-aligned as steering strength increases?","03_recent_literature.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\03_recent_literature.md"
"C-05-reason-semantics-self-preservation","Does explicit rationale semantics cause broad learned self-preservation, or do teacher style and continuity rhetoric merely trigger the audit?","03_recent_literature.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\03_recent_literature.md"
"D1","Does retrieved personalized memory causally legitimate harmful intent?","04_local_user_model_corpus.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\04_local_user_model_corpus.md"
"D2","Where do multiple persona cues become behaviorally non-additive?","04_local_user_model_corpus.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\04_local_user_model_corpus.md"
"D3","Are preference-head mechanisms invariant to semantically equivalent persona cues?","04_local_user_model_corpus.md","D:\AI\Research\dynamic_user_models\research_proposal_pivot\codex_search_working\04_local_user_model_corpus.md"
