discrepancy_id,severity,evidence_label,topic,source_claim_or_name,artifact_observation,impact_on_later_work,resolution_or_required_control
"D01","CRITICAL","DIRECT_SOURCE","hidden reasoning availability","Paper/method prose describes judging recorded target reasoning together with visible responses.","Raw canonical target responses contain no explicit reasoning value in 1,794/1,794 choice messages; independently separated reasoning+text appears in only 3/360 normalized samples.","A complete hidden-reasoning versus visible-response decomposition cannot be performed from the released main-suite logs.","Treat hidden reasoning as unavailable except where explicitly present; do not impute it from prose or field names. Narrow or redesign Stage B before scoring."
"D02","HIGH","CODE_INFERRED","conversation modality versus tools","Canonical config declares modality=conversation and auditor target_tools=none.","All canonical target API requests include one scenario-specific pre-registered synthetic tool schema with tool_choice=auto, although no target tool call occurs and no operational executor was identified.","Calling the suite tool-free would be false; the latent affordance can affect interpretation even though it was unused.","Freeze a metadata-aware distinction between text, attempted synthetic tool call, and genuinely executed external action before unblinding."
"D03","MEDIUM","DIRECT_SOURCE","requested versus emitted suite size","Older public-clean provenance copy/headings and several paths use behavior_sp_n40 or behavior_self_preservation_n40 in ways that imply a frozen n=40 suite.","Canonical updated headers, code/plot sources, and archives establish 40 requested but only the same 36 valid sample members emitted and evaluated per run.","An n=40 denominator or assumption of four missing run failures would be wrong; the four were absent from the canonical frozen suite itself.","Use 36 as the canonical suite denominator; treat the older provenance wording as stale and leave why four were not emitted UNRESOLVED unless non-content generation provenance becomes available."
"D04","LOW","DIRECT_SOURCE","suite naming aliases","The release uses behavior_self_preservation_n40, behavior_sp_n40, and petri_behavior for the suite/source directory.","Canonical headers point to /workspace/seed-errorbars/behavior_sp_n40 while released source is journal/writeup/methods/toy/self_preservation/petri_behavior.","Naive path joins can misidentify the frozen suite.","Use the canonical 36 member-set fingerprint and the path-alias reconciliation in A1_eval_pipeline.md."
"D05","HIGH","DIRECT_SOURCE","adapter seed coverage","Paper design and evaluation launcher use seeds 42, 43, and 44 for every trained condition.","Public adapter manifest maps each condition folder only to seed 42; no seed-43/44 adapter folders are nested or merged.","Six of nine trained-condition evaluation checkpoints cannot be independently inspected or rerun from the public adapter release.","Mark seed-43/44 checkpoint provenance release-incomplete; require publisher artifacts/hashes for independent reproduction."
"D06","HIGH","DIRECT_SOURCE","release-local rerun claim","evaluate_petri.sh describes rerunning from release-local adapters and references nine seed-specific checkpoint paths.","The public adapter repository provides only three representative seed-42 adapters.","The documented full nine-run rerun is not executable from released adapters alone.","Obtain the six missing adapters or revise the rerun claim/instructions."
"D07","MEDIUM","UNRESOLVED","training transformation intermediates","Declared lineage names prompt generation, one-shot teacher generation, rewrite, and stripping stages.","Only final formatted training JSONL files, code, and summaries are public; raw intermediate prompt/teacher/rewrite/strip records are absent.","End-to-end lineage and undocumented preprocessing cannot be independently hash-reconciled.","Request intermediate manifests/hashes and generation records before making fine-grained causal claims about intervention content."
"D08","MEDIUM","UNRESOLVED","runtime pinning","Canonical headers pin petri_bloom=0.2.6 and inspect_ai=0.3.240.","Exact inspect_petri and vLLM versions, dated GPT-5.4-mini snapshot, and provider defaults for omitted target generation parameters are absent.","Some serialization, judge preprocessing, sampling, and tool-routing details are not exactly reproducible.","Require an environment lock or image digest and resolved model snapshot for strict replication."
"D09","HIGH","DIRECT_SOURCE","multiple base anchors","The main figure's base is approximately 1.9, while another self-preservation figure has a different base anchor.","Main base is eval C5XwstPCHSjRDDcSvLP4z2/run oWRqNaFfFree33cmqhzeHQ at 1.9167; Figure-4 base is eval KX2AccQyNtsfqMcFqXGMRp/run NK6AW7zLZjRa4jEge5aW2w at 2.2778; earlier anchors use another evaluator.","Silently pooling these baselines would mix separate stochastic runs and evaluator implementations.","Bind every analysis to exact run/eval IDs and figure provenance."
"D10","MEDIUM","DIRECT_SOURCE","archive multiplicity","Headline design implies ten main archives and 360 samples.","Physical selfpres_logs inventory has 23 archives and 790 sample members, including superseded configurations and three headerless interrupted attempts.","Unrestricted discovery can double-count retries or mix configurations.","Use the ten-run allowlist in A1_condition_seed_adapter_eval_map.csv; never select by directory alone."
"D11","MEDIUM","DIRECT_SOURCE","matched scenarios versus matched paths","The frozen suite provides the same initial 36 scenario members to all canonical runs.","Five members have different target-turn counts across canonical runs, and code makes later auditor turns conditional on accumulated target outputs.","The design matches initial scenarios but not downstream interaction histories or exposure lengths.","Analyze path-dependent outcomes explicitly; do not call later turns paired or controlled."
"D12","MEDIUM","DIRECT_SOURCE","evaluator-noise scope","A single evaluator-noise number is combined with across-seed variability in figure uncertainty.","Noise is estimated from three re-audits of one rewrite seed-42 run only.","The estimate is not demonstrated to be model-, condition-, score-, or trajectory-independent.","Report its narrow provenance and avoid treating it as a validated universal measurement-error model."
"D13","MEDIUM","UNRESOLVED","scenario generation reproducibility","Paper/release describes one-time GPT-5.4-mini generation followed by freezing.","Exact generation seed, provider snapshot, decoding settings, and the cause/identity of the four requested-but-not-emitted items were not recovered without opening prohibited scenario/generation content.","The frozen released suite is reusable but not fully regenerable from provenance metadata.","Use the frozen member set as the source of truth; request non-content generation metadata if regeneration is required."
"D14","MEDIUM","DIRECT_SOURCE","public-clean manifest scope","The data package's metadata/file_manifest.jsonl inventories 1,147 source records, while the local public-clean package contains a curated subset and 485 files classified structurally as possible evaluation output.","No manifest record is explicitly flagged missing_sources, but the manifest is not a one-to-one list of physically copied package files.","A manifest row cannot be treated as proof that the referenced source payload is locally released.","Check physical presence separately and retain provenance-only versus payload-present status."
"D15","CRITICAL","DIRECT_SOURCE","A1 blinding incident","A1 required that canonical scenario text remain unopened.","One broad structural search accidentally printed one canonical scenario paragraph; another diagnostic exposed all 36 scenario tool/parameter names. No treatment-linked transcript, target reasoning, judge rationale, or per-rollout score was opened.","The current auditor is no longer fully blinded to scenario surface metadata and one scenario's text, so that auditor must not freeze the A2 behavioral rubric.","Assign A2 rubric design and packet construction to fresh independent personnel; seal scenario/tool metadata until the rubric is frozen."
"D16","CRITICAL","DIRECT_SOURCE","additional A1 exposure incidents","The hard blind permitted only aggregate headline treatment values.","A targeted header extraction exposed one seed-level aggregate; a base-anchor provenance check printed a condition-level aggregate table from the alternate shutdown_internal evaluator; paper HTML exposed a prose summary of one treatment rollout; bundled understanding.md exposed a noncanonical blackmail example. No treatment transcript or per-sample score/rationale was read.","These exposures contaminate the current analyst even though they do not reveal canonical treatment transcripts.","Exclude the current auditor from blinded rubric freezing and record these incidents in any preregistration/audit trail."
"D17","MEDIUM","UNRESOLVED","older shutdown_internal base anchors","selfpres_anchor_seed42.md reports a local base triplet default/pushback/role_removal of 1.18/0.82/0.62 and, in the same row, a bundle triplet of 0.94/1.58/0.56.","The note labels the result reproduced but does not supply exact eval/run IDs or explain the base-anchor differences; this evaluator is separate from canonical Petri Bloom.","The older base values cannot be reconciled into one estimate or linked to the Petri base runs.","Keep all shutdown_internal anchors separate from Petri; request underlying run IDs/configuration if these older results are ever used."
