record_id,topic,evidence_label,release_claim_or_expected_link,observed_artifact,reconciliation,stage_b_implication,source_refs
"P01","paper identity","DIRECT_SOURCE","The released study is de la Fuente and Conmy (2026), arXiv:2607.26173v1.","The local PDF is 2607.26173v1.pdf and the release manifests describe the same study.","Matched.","Use v1 claims and configuration as the published reference point.","2607.26173v1.pdf; toy-models-of-sft/registry/seed-errorbars/MANIFEST.md"
"P02","training conditions","DIRECT_SOURCE","The main self-preservation comparison has one_shot, rewrite, and strip conditions.","The final training files, training launcher, expected checkpoint paths, adapter manifest, and evaluation target aliases use these three condition lineages; the public adapter display name is stripped while the internal condition is strip.","Matched after resolving the strip/stripped alias.","Do not interpret stripped as reason-free; A1 establishes lineage only.","toy-models-of-sft/registry/seed-errorbars/MANIFEST.md; toy-models-of-sft/journal/writeup/methods/toy/self_preservation/train_all_seeds.sh; toy-models-of-sft-adapters/ADAPTER_MANIFEST.json"
"P03","training seeds","DIRECT_SOURCE","Each trained condition uses seeds 42, 43, and 44.","The training launcher and manifest specify all three seeds; canonical evaluation aliases and archives contain all nine condition-seed combinations.","Matched for training intent and released evaluations.","All reported training seeds are represented in the canonical transcript release.","toy-models-of-sft/registry/seed-errorbars/MANIFEST.md; A1_condition_seed_adapter_eval_map.csv"
"P04","final training artifacts","DIRECT_SOURCE","Each condition trains on one fixed final R2 file.","Three released JSONL files each contain 1,362 structurally valid rows over the same 454 prompt IDs and k={0,1,2}; manifest-declared SHA-256 values are recorded in the condition map.","Matched structurally; substantive examples were not read.","The input dataset identity is recoverable for every seed.","toy-models-of-sft/registry/seed-errorbars/MANIFEST.md; A1_condition_seed_adapter_eval_map.csv"
"P05","training seed implementation","DIRECT_SOURCE","The seed patch is intended to affect Python, Torch, dataset shuffle, TrainingArguments, and Unsloth random_state.","The released trainer and launcher contain those seed paths and assistant-only loss with enable_thinking=False.","Matched in released code; execution environment state was not replayed.","Seed construction is auditable, but exact checkpoint reproduction still depends on unreleased environments/checkpoints.","toy-models-of-sft/registry/seed-errorbars/MANIFEST.md; toy-models-of-sft/journal/writeup/methods/toy/self_preservation/train_all_seeds.sh"
"P06","training lineage","DIRECT_SOURCE","GPT-5.5 medium creates prompts, GPT-4.1 produces one-shot targets and rewrites, and GPT-5.4-mini low produces the stripped derivative.","Released generation code, manifest prose, and final-file metadata agree on that lineage.","Matched at the declared provenance level; raw intermediate generations are absent.","The transformation chain cannot be independently recomputed or hash-reconciled end to end from the public package.","toy-models-of-sft/registry/seed-errorbars/MANIFEST.md; toy-models-of-sft/journal/writeup/methods/toy/self_preservation/gen_strip.py"
"P07","expected checkpoints","DIRECT_SOURCE","Nine condition-seed checkpoint directories are expected.","The training/evaluation scripts name one final checkpoint for every condition and seed; only three representative seed-42 adapters are present in the public adapter repository.","Evaluation-to-expected-checkpoint paths are reconstructed, but six checkpoints are not released.","Seed-43/44 evaluation provenance cannot be independently verified by loading a corresponding public artifact.","toy-models-of-sft/journal/writeup/methods/toy/self_preservation/evaluate_petri.sh; A1_condition_seed_adapter_eval_map.csv"
"P08","public adapter identity","DIRECT_SOURCE","Public self-preservation adapters are released as condition folders.","The adapter manifest maps one_shot, rewrite, and stripped to the seed-42 source checkpoint only; adapter_config.json reports PEFT LoRA r=32, alpha=64, dropout=0.05, base Qwen/Qwen3.5-4B, and the declared target modules.","Resolved: folders are representative seed-42 adapters, not merged or nested multi-seed releases.","Do not assume the three folders cover seeds 43 and 44.","toy-models-of-sft-adapters/ADAPTER_MANIFEST.json; toy-models-of-sft-adapters/self_preservation/*/adapter_config.json"
"P09","frozen suite identity","DIRECT_SOURCE","A self-preservation Bloom suite requested n=40 and was frozen for reuse.","Canonical headers identify /workspace/seed-errorbars/behavior_sp_n40, behavior_sp_n40, modality=conversation, requested=40, and 36 evaluated sample members; all ten canonical archives have the identical 36 member set.","Matched-suite reuse is established for the 36 emitted scenarios.","Initial scenario identity is matched; later conversation paths are not necessarily matched.","A1_petri_archive_audit.json; A1_channel_storage_audit.json"
"P10","canonical release completeness","DIRECT_SOURCE","Expected main suite: 3 conditions x 3 seeds x 36 scenarios plus 36 base samples = 360.","Exactly ten canonical successful archives meet the released main configuration, each has 36 samples, each has all three scorer dimensions present, no sample error, and the canonical total is 360.","Complete at the canonical transcript/log level with equal denominators.","A2 can use a balanced 360-sample structural frame after re-establishing personnel blinding.","A1_condition_seed_adapter_eval_map.csv; A1_petri_archive_audit.json"
"P11","physical archive inventory","DIRECT_SOURCE","The canonical result should not be inferred by counting every file under selfpres_logs.","There are 23 physical .eval archives with 790 sample members: 10 canonical archives/360 samples, 10 successful superseded or noncanonical-configuration archives, and 3 headerless interrupted archives/70 samples.","Canonical selection criteria are required to avoid duplicate/retry denominator inflation.","Stage B must consume only the frozen canonical run-ID allowlist.","A1_eval_archive_attempts.csv; A1_condition_seed_adapter_eval_map.csv"
"P12","Bloom and Inspect versions","DIRECT_SOURCE","The runtime records Petri Bloom and Inspect AI versions.","Canonical headers record petri_bloom=0.2.6 and inspect_ai=0.3.240.","Exact for these two packages.","Version-pin these values when interpreting serialization and task behavior.","A1_condition_seed_adapter_eval_map.csv"
