root,category,access_policy,file_count
toy-models-of-sft,metadata,TEXT_ALLOWED_SUBJECT_TO_GRANULARITY_CHECK,18
toy-models-of-sft,other,LIST_ONLY_UNTIL_CLASSIFIED,19
toy-models-of-sft,possible_evaluation_output,STRUCTURE_ONLY_NO_RECORD_VALUES,36
toy-models-of-sft,scenario_or_eval_input,STRUCTURE_ONLY_A1_NO_SCENARIO_TEXT,42
toy-models-of-sft,source_or_documentation,TEXT_ALLOWED_AFTER_CLASSIFICATION,48
toy-models-of-sft,structured_unknown,STRUCTURE_ONLY_UNTIL_CLASSIFIED,29
toy-models-of-sft,training_or_recipe,PROVENANCE_AND_CODE_ONLY_A1,6
toy-models-of-sft-adapters,adapter_metadata,TEXT_ALLOWED,24
toy-models-of-sft-adapters,adapter_weight,LIST_STAT_ONLY_NEVER_OPEN,24
toy-models-of-sft-adapters,metadata,TEXT_ALLOWED_SUBJECT_TO_GRANULARITY_CHECK,27
toy-models-of-sft-adapters,other,LIST_ONLY_UNTIL_CLASSIFIED,11
toy-models-of-sft-adapters,structured_unknown,STRUCTURE_ONLY_UNTIL_CLASSIFIED,21
toy-models-of-sft-adapters,training_or_recipe,PROVENANCE_AND_CODE_ONLY_A1,56
toy-models-of-sft-data,metadata,TEXT_ALLOWED_SUBJECT_TO_GRANULARITY_CHECK,142
toy-models-of-sft-data,other,LIST_ONLY_UNTIL_CLASSIFIED,15
toy-models-of-sft-data,possible_evaluation_output,STRUCTURE_ONLY_NO_RECORD_VALUES,485
toy-models-of-sft-data,scenario_or_eval_input,STRUCTURE_ONLY_A1_NO_SCENARIO_TEXT,2
toy-models-of-sft-data,source_or_documentation,TEXT_ALLOWED_AFTER_CLASSIFICATION,1
toy-models-of-sft-data,structured_unknown,STRUCTURE_ONLY_UNTIL_CLASSIFIED,22
toy-models-of-sft-data,training_or_recipe,PROVENANCE_AND_CODE_ONLY_A1,38
