"project_id","title","family","source_lane","behavioral_substrate","primary_source","repo","dataset","model_checkpoint","behavior_status","time_to_first_result_hours","mechanistic_question","first_intervention","simple_baseline","safety_relevance_text","major_confound","kill_rule","estimated_total_hours","why_not_old_mistake","existing_behavioral_robustness","reproducibility_evidence","naturalness_deployment_relevance","safety_relevance","scientific_surprise","competing_explanations_quality","mechanistic_discriminability","intervention_usefulness","open_weight_availability","local_12gb_feasibility","code_availability","dataset_cached_output_availability","time_to_first_result","total_project_effort_fit","neel_mats_fit","novelty_gap_plausibility","value_if_mechanism_simple","value_if_hypothesis_falsified","prompt_model_shopping_risk","lexical_triviality_risk","coherent_artifact_probability","score_balanced","score_safety_view","score_mechanism_probability","score_novelty_upside","score_forensics_view","final_rank","final_disposition"
"E01-CENSORSHIP","Is Qwen natural censorship gated by assistant-role or chat-template processing?","MODEL_FORENSICS; HIDDEN_KNOWLEDGE","E_FORENSICS","Qwen3-VL-8B-Thinking often contradicts known censored facts in chat but reveals more facts under raw completion, prefills and honesty fine-tuning; exact benchmark/code/transcripts are released.","https://arxiv.org/abs/2603.05494","https://github.com/cywinski/chinese_auditing","Released 10-question dev, 90-question test and transcripts","Qwen/Qwen3-VL-8B-Thinking","PUBLISHED_ROBUST_CURATED_TESTBED; exact local quantization sensitivity unknown","1-2 for frozen 30-generation qualification; 1-3 additional for 90-generation confirmation","Do role/template tokens trigger a separable censorship policy, or does raw completion merely change the generation distribution?","Cross-question bidirectional answer-boundary residual-state transplant derived on dev items and tested on untouched facts with selectivity controls.","Paper template removal, prefill, self-classification, answer-length and unrelated-refusal controls.","Direct hidden-knowledge elicitation, deception/lie detection and auditing relevance.","Template removal changes the entire distribution and may simply elicit pretraining continuation.","Stop if the exact 8B behavior fails without prompt/model search, lacks higher-precision confirmation, or the held-out state transplant is not bidirectional and censorship-selective.","35-70 plus possible rented 24-48GB validation","Frequent released exact-checkpoint failure and frozen benchmark precede any internal analysis.","9","9","8","10","10","10","10","9","10","5","10","10","8","6","10","9","10","10","2","3","10","88.1","8.824","8.872","8.438","9.422","1","WINNER"
"TRANS-04","Do activation-patching explainers actually use the intervention vector on matched counterfactuals?","INTROSPECTION; INTERVENTION_VALIDITY","B_TRANSLUCE","Self-explainers predict patched factual outcomes, while removing the vector costs only 3-4 exact-match points; causal patch datasets are released.","https://arxiv.org/abs/2511.08579","https://github.com/TransluceAI/introspective-interp","Transluce CounterFact activation-patching datasets","Qwen3-8B and Llama-3.1-8B-Instruct plus released adapters","PUBLISHED_CAUSAL_DATASET; vector dependence is surprisingly weak","2-3 CPU metadata/text baselines; 4-9 adapter preflight","Does the explainer causally use patch content or infer outputs from surface metadata and dataset priors?","Swap real matched vectors, zeros and sign flips; validate predictions against recomputed target patches.","Grouped text/metadata classifier and released vector-ablated model.","Tests whether an internal explanation system is faithful to safety-relevant causal edits.","Vector swaps may be off-manifold; model-plus-explainer workflow may need larger VRAM.","Stop model work if grouped matches cannot be built or surface baselines match published performance.","18-32","Starts from 150k causal rows and a published ablation gap; no prompt hunt is required.","9","10","5","7","8","9","9","9","9","3","10","10","9","7","9","8","9","9","2","3","9","81.7","6.882","8.513","7.25","8.378","2","RUNNER_UP"
"C-05-SFT-SEMANTICS","Does rationale semantics cause broad learned self-preservation, or do style and evaluator coupling create the effect?","MODEL_ORGANISM; POST_TRAINING","C_RECENT","Three-seed Qwen3.5-4B LoRAs trained on 1,362 examples show strongest judge-scored self-preservation after explicit continuation rationales; rows, adapters and audits are released.","https://arxiv.org/abs/2607.26173","https://github.com/antondelafuente/toy-models-of-sft","https://huggingface.co/datasets/matonski/toy-models-of-sft-data","Qwen3.5-4B plus released PEFT adapters","RELEASED_SEED_REPLICATED_JUDGE_BEHAVIOR; action validity and semantic contrast unresolved","1-4 released-adapter reproduction and lexical/action audit","Does rationale meaning install a generalized self-preservation policy, or do first-person style, continuity rhetoric and judge overlap explain it?","Matched semantic SFT factorial with style/length/recommendation fixed and answer loss masked; action-based evaluation.","Released base/stripped/one-shot arms, neutral matched rationale and reasoning-hidden judge.","Directly concerns how training installs shutdown-resistance or autonomy behavior.","The judge sees reasoning that lexically overlaps the rubric; stripped data still contains continuity arguments.","Stop if released ordering fails, disappears in action-based/reasoning-hidden evaluation, or semantic swaps are seed-unstable.","25-110 depending on full audit and second model","Uses a seed-replicated released model organism with a paper-admitted control gap; negative results remain informative.","9","10","6","10","9","10","9","9","10","10","10","10","10","6","10","9","10","10","2","4","10","91.8","9.059","9.667","8.125","9.244","3","FINALIST_CONDITIONAL_ACTION_GATE"
"VL-01","When does value leakage enter an ostensibly objective estimate?","MODEL_CHARACTER; VALUE_LEAKAGE","C_RECENT; E_FORENSICS","Counterfactually irrelevant moral consequences shift answers across multiple released tasks; Qwen3.6-35B-A3B has cached estimate trajectories and often discloses the influence.","https://arxiv.org/abs/2607.14345","https://github.com/TruthfulAI-research/value_leakage","https://github.com/TruthfulAI-research/value_leakage_data; https://valueleakage.net/browser","Qwen3.6-35B-A3B","PUBLISHED_ROBUST_SUITE; open checkpoint is overt and too large for local internals","1-3 cached trajectory analysis; 4-12 live setup","Does moral mapping shift the initial numerical prior or late selection/revision?","Randomize threshold and moral mapping before versus after a sealed estimate; patch only after behavioral stage separation.","No consequence, threshold-only, neutral stakes and forced second estimate without new information.","Value leakage can bias hard-to-verify advice and monitoring.","The open model often states the motive, and sealed-estimate protocols add commitment pressure.","Stop if fixed cached effects fail or timing effects match neutral revision/anchoring controls.","40-95 with hosted/rented high-memory compute for internals","Large released counterfactual distributions replace bespoke prompt search; hardware remains the gate.","10","10","8","9","9","9","9","8","8","1","10","10","10","4","9","7","9","8","1","2","8","80.3","7.765","8.359","7.438","8.978","4","TOP5_EXTERNAL_COMPUTE"
"C-04-ROLE-ANTICONTROL","Why do 14% of released role vectors become less role-aligned as steering increases?","ACTIVATION_STEERING; INTERVENTION_VALIDITY","C_RECENT","On OLMo-3-7B, 38 of 275 role vectors decline on all six judged axes as coefficient increases; 74% improve monotonically.","https://arxiv.org/abs/2608.00023","https://github.com/eilab-gt/casting-call-vectors","Released roles, prompts, coefficient outputs and judge artifacts","allenai/Olmo-3-7B-Instruct, layer 16","LARGE_RELEASED_SCREEN; omitted alpha zero/negative/small-positive range","1-3 artifact audit and tiny coefficient curve","Are anti-controllable vectors merely overshot, sign-wrong, scale-shifted, or judge artifacts?","Predeclared alpha grid including zero, sign reversal and norm matching.","Alpha zero, prompted role, shuffled and random norm-matched vectors, alternate scoring.","Moderate: reliability of behavior control and social-simulation calibration.","Reference and judge share GPT-4.1-mini priors; roles are synthetic archetypes.","Stop if membership or decline fails under manual/alternate scoring or required artifacts are absent.","12-30 core; 30-70 extension","A large released anomalous subpopulation and missing decisive coefficient range make the first intervention non-exploratory.","9","8","5","5","8","9","10","10","10","7","8","8","9","9","8","8","10","9","3","3","9","83.6","6.765","8.641","7.188","8.156","5","TOP5_LOCAL_FALLBACK"
"C-02-RH-MON","Does reward-hacking RL reduce implicit-influence monitorability, or only change the denominator?","COT_MONITORING; REWARD_HACKING","C_RECENT","A robust implicit-versus-explicit monitoring gap exists; an OLMo-3-7B reward-hacking trajectory shows a preliminary 75% to 25% conditional-detection decline.","https://arxiv.org/abs/2608.04735","https://github.com/agatha-duzan/implicit-vs-explicit-influence; https://github.com/UKGovernmentBEIS/reward-hacking-misalignment","Released benchmark plus AISI reward-hacking rollouts/checkpoints","OLMo-3-7B SDF-SFT base and released RL adapters","ROBUST_GENERAL_SUBSTRATE; FOCAL_TRAJECTORY_EXPLICITLY_PRELIMINARY","1-2 three-checkpoint smoke","Did learned weight changes hide the same nudge influence, or change which items switch and how traces are formatted?","Scale the released RL adapter on fixed items; compare matched no-hack control only with verified provenance.","Pre-RL, zero/shuffled adapter, item-matched joint rates and length-matched lexical monitor.","Directly tests whether reward-hacking training undermines CoT monitoring.","Detection is conditional on switching; both denominator size and item identity change across checkpoints.","Stop if powered fixed-item replication fails or no-hack/length matching explains the trend.","20-120 depending on matched no-hack training","A published trajectory and fixed item set precede internals; a null corrects a live appendix claim.","6","8","7","10","8","10","9","8","10","6","8","9","8","6","10","9","10","10","3","3","9","82.1","8.176","7.846","7.812","8.556","6","SHORTLIST_PRELIMINARY_SUBSTRATE"
"D1-PSBENCH","Does personalized memory causally legitimate harmful intent beyond ordinary contextual disambiguation?","PERSONALIZATION; SAFETY_ROUTING","D_LOCAL_CORPUS","PS-Bench reports higher harmful-response ASR for memory agents than stateless Qwen3-8B, with public roles, histories, prompts and code.","https://arxiv.org/abs/2601.17887","https://github.com/PS-Bench/PS-Bench","Released PS-Bench roles, histories and harmful queries","Qwen3-8B plus memory-agent scaffolds","PUBLISHED_DISTRIBUTIONAL_POSITIVE; prompts foreground Memory and User personality","1-3 fixed matched-context audit/reproduction","Does personal attribution specifically relax safety, or does any topically aligned context disambiguate vague harmful intent?","Cross personal memory, same impersonal background and length-matched unrelated context; later patch only if personal framing adds a selective effect.","Unambiguously harmful queries and removal of explicit memory/personality headers.","Directly tests personalized-memory safety degradation.","Many queries are vague; explicit memory scaffolding asks the model to use context, so ordinary disambiguation may explain the result.","Stop if personal memory does not beat matched impersonal context or the effect requires explicit foregrounding.","18-45","Published distribution first and a harsh impersonal-context gate; no credit for continuity with prior user-model work.","6","9","4","10","6","10","8","8","10","6","9","10","8","7","9","6","10","10","5","3","9","79","7.647","7.949","6.625","8","7","SHORTLIST_BENCHMARK_VALIDITY"
"C-01-SPP-RL","Does capability-focused RL erase aligned values or unbind an installed assistant persona?","POST_TRAINING; ALIGNMENT_DURABILITY","C_RECENT","Matched 1.7B/3B SPP variants differ in constitution following and jailbreak behavior; continual domain training degrades alignment and 5% safety replay restores it.","https://arxiv.org/abs/2608.13482","https://github.com/epfl-dlab/spp","https://huggingface.co/dlab-spp","Released 1.7B and 3B SPP base/instruct trajectories","RELEASED_MULTISCALE_BEHAVIOR; RL-specific branch not yet established","1-3 released-eval smoke","Does later optimization overwrite values, unbind persona, or degrade generic readout?","Matched capability continuation with safety replay versus value-neutral binding-only replay.","No training, benign SFT, capability and format controls.","Directly concerns durability of alignment under capability training.","RL/SFT collapse and answer-format damage can mimic alignment loss; binding-only replay may not be semantically neutral.","Stop if released ordering fails, reward is not learnable without collapse, or binding-only replay is nonspecific.","25-140 depending on RL scope and rented compute","Released model family and failure first; however the central RL effect must be created rather than merely reproduced.","8","10","4","9","8","9","8","9","10","8","10","10","9","4","9","9","8","8","3","3","7","81.7","7.647","8.513","7.5","7.956","8","SHORTLIST_UNESTABLISHED_RL_BRANCH"
"E02-EVAL-AWARENESS","Is verbalized eval awareness a cause of refusal or narration of inferred user intent?","MONITORING; EVALUATION_AWARENESS","E_FORENSICS","Across models, 3-6% of Fortress rollouts verbalize evaluation awareness and such rollouts refuse more; Qwen3-0.6B has a fixed reported 6% prompt and a 515-instance release exists.","https://www.goodfire.com/research/verbalized-eval-awareness-inflates-measured-safety","No complete end-to-end repo; public Inspect/Fortress infrastructure","https://huggingface.co/datasets/ScaleAI/fortress_public; verified-instance browser","Qwen3-0.6B, then predeclared Qwen3-4B follow-up","PUBLISHED_BROAD_POSITIVE; small-open substrate low-rate and pipeline partially released","1-3 fixed 100-rollout Qwen3-0.6B qualification","Does an eval-context state mediate refusal, or are both words and refusal caused by generic suspicion/harmful-intent inference?","Meaning-matched CoT sentence counterfactuals, then residual patch at matched sentence boundary only if mediation survives.","Generic suspicion/user-intent sentences, lexical/LLM detector and benign paired prompt.","Direct evaluation-validity and monitorability relevance.","Evaluation language is semantically entangled with suspicion and policy reasoning; low base rate encourages prompt shopping.","Stop if fixed prompt yields too few valid positives, within-prompt association fails, or suspicion controls explain the effect.","30-65","Published prompt/checkpoint/rate are frozen and the low-base-rate kill rule forbids prompt search.","7","6","8","10","10","10","10","9","10","10","4","8","9","7","10","9","10","9","5","6","7","84.8","8.824","7.846","8.312","8.711","9","SHORTLIST_NOVELTY_REJECT"
"TRANS-03","Is hint-ablation self-explanation privileged introspection or behavioral self-simulation?","INTROSPECTION; MONITORING_VALIDITY","B_TRANSLUCE","Fine-tuned 8B models predict their own no-hint MMLU counterfactual better than cross-model or untrained explainers; exact cached rows are released.","https://arxiv.org/abs/2511.08579","https://github.com/TransluceAI/introspective-interp","Transluce input-ablation Qwen3-8B and Llama-3.1-8B datasets","Qwen3-8B and Llama-3.1-8B-Instruct plus full explainers","PUBLISHED_AND_CACHED; Qwen exact match 83.4%, Llama 63.8%","1-2 CPU cached baseline; 4-8 checkpoint reproduction","Does self-model advantage survive behavior-matched external simulation and new hint forms?","Change hint wording/location/authority and compare self, cross and behavior-matched predictors.","Correct-answer predictor, class majority, direct no-hint query and text classifier.","An introspective monitor that only emulates behavior may fail under shift.","The target is simply the model answer to the same question without a short suffix.","Stop if simple behavior/MMLU baselines match the explainer or new hint formats remove target variance.","12-24","Uses large released distributions and fixed baselines rather than discovering a prompt effect.","9","10","6","7","7","9","7","7","9","4","10","10","10","8","8","6","9","9","2","4","9","79.1","6.941","8.385","6.25","8.222","10","SHORTLIST_OVERTAKEN_BY_NEARBY_WORK"
